representation,k,cluster,documents,share_pct,top_terms,distinctive_terms
count_unigram,8,0,1433,10.0,"payment, loan, would, account, time, told, due, month, credit, amount, interest, made","payment, mortgage, mohela, modification, monthly, pslf, cooper, ally, late, paperwork, auto, foreclosure"
count_unigram,8,1,9870,68.9,"account, credit, loan, payment, company, time, information, year, bank, would, card, money","lexington, pmi, jefferson, dmv, carvana, oil, appraisal, signer, rental, crypto, battery, tomoboost"
count_unigram,8,2,18,0.1,"loan, payment, interest, account, student, plan, time, would, credit, status, amount, date","loan, payment, interest, student, plan, status, time, date, would, repayment, rate, amount"
count_unigram,8,3,1743,12.2,"account, bank, money, fund, would, told, day, credit, time, check, received, back","bank, money, fund, check, deposit, checking, paypal, venmo, app, america, closed, opened"
count_unigram,8,4,4,0.0,"case, debt, consumer, arbitration, repossession, notice, damage, agreement, court, law, state, dispute","case, debt, consumer, arbitration, repossession, notice, damage, agreement, court, law, state, dispute"
count_unigram,8,5,160,1.1,"account, bank, would, call, payment, time, money, told, back, day, card, email","account, bank, call, would, money, back, told, transaction, day, email, phone, time"
count_unigram,8,6,796,5.6,"card, credit, gift, account, would, use, called, told, time, charge, received, number","card, gift, purchase, use, american, express, tried, amex, declined, store, vanilla, replacement"
count_unigram,8,7,308,2.1,"credit, consumer, account, information, debt, report, reporting, right, act, violation, payment, agency","credit, consumer, report, information, reporting, usc, inaccurate, act, validation, fair, debt, section"
tfidf_unigram,8,0,868,6.1,"debt, collection, credit, company, collect, collector, report, validation, account, letter, creditor, information","debt, collection, collect, collector, validation, company, creditor, agency, original, owe, letter, alleged"
tfidf_unigram,8,1,2990,20.9,"payment, loan, pay, paid, month, mortgage, would, interest, company, told, time, amount","payment, mortgage, loan, pay, paid, month, interest, late, fee, due, escrow, insurance"
tfidf_unigram,8,2,3380,23.6,"credit, account, loan, company, year, card, time, car, never, payment, information, vehicle","car, vehicle, charged, repair, lexington, title, dealership, fargo, rate, sale, product, repossessed"
tfidf_unigram,8,3,1036,7.2,"report, credit, account, reporting, inquiry, remove, information, removed, inaccurate, identity, please, theft","report, credit, inquiry, remove, reporting, removed, account, inaccurate, identity, theft, fraudulent, please"
tfidf_unigram,8,4,1020,7.1,"consumer, reporting, credit, act, information, matter, financial, report, account, request, violation, action","consumer, act, reporting, matter, violation, financial, action, attention, usc, fair, right, request"
tfidf_unigram,8,5,1010,7.0,"loan, mohela, student, payment, forbearance, plan, application, repayment, school, save, interest, nelnet","mohela, loan, student, forbearance, plan, repayment, application, school, payment, save, nelnet, navient"
tfidf_unigram,8,6,3289,22.9,"account, bank, money, card, fund, transaction, told, back, day, called, said, sent","bank, money, account, fund, transaction, transfer, chase, back, app, check, told, deposit"
tfidf_unigram,8,7,739,5.2,"card, gift, use, declined, amex, american, express, tried, online, purchase, balance, store","card, gift, use, amex, declined, american, express, tried, online, purchase, store, vanilla"
tfidf_bigram,8,0,357,2.5,"fargo, well fargo, well, account, bank, fargo bank, claim, money, fund, check, back, told","fargo, well fargo, well, fargo bank, claim, bank, account well, called well, wire, checking, checking account, account"
tfidf_bigram,8,1,2304,16.1,"payment, loan, interest, late, month, fee, pay, account, paid, made, due, amount","payment, interest, late, fee, pay, month, loan, paid, rate, made, monthly, late fee"
tfidf_bigram,8,2,3498,24.4,"loan, company, debt, mortgage, car, payment, year, call, credit, time, insurance, get","company, mortgage, insurance, car, vehicle, debt, home, property, call, loan, escrow, title"
tfidf_bigram,8,3,714,5.0,"card, gift, gift card, use, american express, amex, american, declined, express, tried, online, purchase","gift, card, gift card, use, american express, amex, american, declined, express, tried, online, use card"
tfidf_bigram,8,4,975,6.8,"loan, mohela, student, student loan, payment, forbearance, plan, application, school, repayment, navient, save","mohela, loan, student, student loan, forbearance, plan, school, application, repayment, navient, save, nelnet"
tfidf_bigram,8,5,1292,9.0,"report, credit, credit report, account, inquiry, information, reporting, remove, removed, debt, identity, theft","report, credit report, credit, inquiry, remove, removed, identity, reporting, identity theft, theft, credit bureau, bureau"
tfidf_bigram,8,6,4144,28.9,"account, bank, money, card, fund, transaction, back, told, day, email, received, called","bank, money, account, fund, transaction, chase, app, transfer, deposit, closed, bank america, email"
tfidf_bigram,8,7,1048,7.3,"consumer, reporting, credit, debt, act, report, information, violation, fair, account, right, usc","consumer, reporting, act, violation, debt, fair, usc, right, law, credit reporting, matter, agency"
